	Guage compr	TC Amp 2					TC Amp 3					
Min,Max,Step	
0208	85FD	AE850D	-63.6565	-1.273129	0.333871	n/a	AE0403	-64.0503	-1.281005	0.325995	n/a	
0209	85FD	AF0BEE	-63.2448	-1.264897	0.342103	n/a	AE8917	-63.6441	-1.272883	0.334117	n/a	
0210	85FD	AF92DD	-62.8331	-1.256661	0.350339	n/a	AF0E0C	-63.2384	-1.264768	0.342232	n/a	
0211	85FD	B019A6	-62.4217	-1.248434	0.358566	n/a	AF9300	-62.8326	-1.256653	0.350347	n/a	
0212	85FD	B09F97	-62.0130	-1.240259	0.366741	n/a	B0179B	-62.4280	-1.248559	0.358441	n/a	
0213	85FD	B126CD	-61.6003	-1.232007	0.374993	n/a	B09C7C	-62.0224	-1.240449	0.366551	n/a	
0214	85FD	B1AC54	-61.1928	-1.223857	0.383143	n/a	B11F71	-61.6228	-1.232456	0.374544	n/a	
0215	85FD	B23354	-60.7809	-1.215617	0.391383	n/a	B1A461	-61.2171	-1.224342	0.382658	n/a	
0216	85FD	B2B8DD	-60.3733	-1.207467	0.399533	n/a	B227D0	-60.8160	-1.216320	0.390680	n/a	
0217	85FD	B3426A	-59.9536	-1.199071	0.407929	n/a	B2B00D	-60.4002	-1.208005	0.398995	n/a	
0218	85FD	B3C636	-59.5514	-1.191027	0.415973	n/a	B331CA	-60.0043	-1.200086	0.406914	n/a	
0219	85FD	B44B2E	-59.1456	-1.182911	0.424089	n/a	B3B37E	-59.6085	-1.192170	0.414830	n/a	
0220	85FD	B4D0C1	-58.7379	-1.174759	0.432241	n/a	B43681	-59.2087	-1.184173	0.422827	n/a	
0221	85FD	B55603	-58.3313	-1.166625	0.440375	n/a	B4B945	-58.8096	-1.176192	0.430808	n/a	
0222	85FD	B5DB44	-57.9246	-1.158492	0.448508	n/a	B53CCE	-58.4082	-1.168164	0.438836	n/a	
0223	85FD	B65F75	-57.5212	-1.150424	0.456576	n/a	B5BE66	-58.0127	-1.160254	0.446746	n/a	
0224	85FD	B6E410	-57.1165	-1.142330	0.464670	n/a	B64041	-57.6164	-1.152328	0.454672	n/a	
0225	85FD	B76751	-56.7159	-1.134319	0.472681	n/a	B6C16E	-57.2222	-1.144444	0.462556	n/a	
0226	85FD	B7EAB7	-56.3150	-1.126299	0.480701	n/a	B7421E	-56.8295	-1.136589	0.470411	n/a	
